trct,access_total,access_low,access_med,access_high,cutoff,totjobs,lowjobs,medjobs,highjobs,workers_all,workers_low,workers_med,workers_high
48453046900,378,79,172,127,45,378,79,172,127,4217,881.3306878306878,1918.8465608465608,1416.8227513227514
48453002326,1356,456,544,356,45,24,13,5,6,492,266.5,102.5,123
48453000402,29789,3314,7590,18885,45,1455,406,357,692,1771,494.17594501718213,434.53402061855667,842.2900343642611
48453000500,31664,3810,8429,19425,45,723,168,353,202,1721,399.90041493775936,840.2669432918395,480.8326417704011
48453000601,58482,5252,12373,40857,45,1202,370,344,488,1073,330.2911813643927,307.08153078203,435.62728785357734
48453000801,1442,315,460,667,45,1095,235,383,477,963,206.6712328767123,336.8301369863014,419.49863013698626
48453000802,1906,408,593,905,45,347,80,77,190,1457,335.90778097982707,323.31123919308357,797.7809798270893
48453000803,30578,3524,7742,19312,45,742,241,130,371,1729,561.5754716981132,302.92452830188677,864.5
48453000804,2434,704,544,1186,45,464,93,133,238,1210,242.52155172413794,346.8318965517241,620.646551724138
48453000901,11852,2885,2984,5983,45,881,290,204,387,1458,479.9318955732123,337.6072644721907,640.4608399545971
48453001603,4620,872,1121,2627,45,1290,300,291,699,1873,435.5813953488372,422.51395348837207,1014.9046511627906
48453001605,5458,1088,1302,3068,45,817,175,261,381,1792,383.843329253366,572.4749082007344,835.6817625458996
48453001606,83,6,7,70,45,83,6,7,70,122,8.819277108433734,10.289156626506024,102.89156626506025
48453002307,6536,924,2713,2899,45,6536,924,2713,2899,2785,393.717870257038,1156.0136168910649,1235.2685128518972
48453002003,4166,821,1126,2219,45,3130,519,829,1782,1846,306.09392971246007,488.9246006389776,1050.9814696485623
48453000101,6079,1190,2058,2831,45,4040,685,1393,1962,2060,349.2821782178218,710.2920792079208,1000.4257425742574
48453002313,1884,256,447,1181,45,1884,256,447,1181,1877,255.0488322717622,445.3391719745223,1176.6119957537155
48453000700,97490,12607,16031,68852,45,27239,1346,4167,21726,739,36.51727302764419,113.05161716656265,589.4311098057932
48453001604,654,102,169,383,45,654,102,169,383,1548,241.43119266055047,400.0183486238532,906.5504587155963
48453001910,12467,2871,3241,6355,45,8626,1801,2290,4535,1922,401.2893577556225,510.2457686065384,1010.4648736378391
48453002407,959,154,335,470,45,959,154,335,470,4600,738.6861313868613,1606.8821689259646,2254.4316996871744
48453002315,3008,900,1033,1075,45,211,75,82,54,1340,476.30331753554503,520.7582938388625,342.9383886255924
48453001308,4850,1151,1381,2318,45,1929,460,581,888,1708,407.2991187143598,514.4364955935717,786.2643856920685
48453001911,9184,555,919,7710,45,9184,555,919,7710,1684,101.7661149825784,168.51001742160278,1413.7238675958188
48453002110,785,140,291,354,45,785,140,291,354,1957,349.0191082802547,725.4611464968152,882.5197452229299
48453002111,3645,533,1051,2061,45,3645,533,1051,2061,2329,340.56433470507545,671.5443072702333,1316.8913580246913
48453002105,2755,934,987,834,45,2431,837,865,729,1813,624.2208967503085,645.1028383381324,543.676264911559
48453002106,2941,669,953,1319,45,422,115,124,183,1501,409.04028436018956,441.0521327014218,650.9075829383886
48453002107,2031,509,645,877,45,254,70,117,67,1900,523.6220472440945,875.1968503937009,501.1811023622047
48453002109,503,127,167,209,45,503,127,167,209,2029,512.2922465208748,673.6441351888668,843.0636182902584
48453000204,31376,3125,8468,19783,45,15173,2178,3658,9337,1660,238.28379358070256,400.2029921571212,1021.5132142621761
48453001403,4887,519,1047,3321,45,842,148,189,505,844,148.3515439429929,189.44893111638956,506.19952494061755
48453002108,746,161,209,376,45,746,161,209,376,1983,427.96648793565686,555.558981233244,999.4745308310992
48453001913,844,145,133,566,45,844,145,133,566,1833,314.9111374407583,288.8495260663507,1229.239336492891
48453000902,10646,2551,2721,5374,45,8872,2073,2295,4504,4084,954.2529305680794,1056.4449954914337,2073.302073940487
48453001000,25838,5572,4450,15816,45,893,188,222,483,1698,357.4736842105263,422.1231802911534,918.4031354983204
