h3_id,percentile,cutoff,access_total_jobs,access_low_wage_jobs,access_middle_wage_jobs,access_high_wage_jobs,lon,lat,network_snapshot,gtfs_snapshot,jobs_year,departure_datetime
88489e3045fffff,50,45,0,0,0,0,-97.6106641667096,30.150603890019436,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489eadd3fffff,50,45,25156,4817,7613,12726,-97.7904785773406,30.167503193029045,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e344bfffff,50,45,41117,4812,6743,29562,-97.78063215061093,30.252881463020792,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e3017fffff,50,45,106,4,27,75,-97.6339479839838,30.196167751530567,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489eada5fffff,50,45,116,0,13,103,-97.72470398390016,30.17755932508283,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e341dfffff,50,45,41108,3550,5271,32287,-97.78261504261272,30.283724970298497,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e2753fffff,50,45,32609,3479,5354,23776,-97.73289102735154,30.385899041249814,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e2725fffff,50,45,7930,695,1082,6153,-97.66700816724205,30.395881024399067,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
884898c98dfffff,50,45,16,4,2,10,-97.87892861191564,30.427134462087796,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e22c3fffff,50,45,15513,2594,4161,8758,-97.6723305606235,30.318463183579,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489eacedfffff,50,45,5384,1197,1747,2440,-97.8042829933533,30.143815579303347,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e26c9fffff,50,45,145,20,18,107,-97.82121079381815,30.40599610368939,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e2295fffff,50,45,18433,2257,4502,11674,-97.67428496172012,30.349293408298692,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
884898c931fffff,50,45,305,45,99,161,-97.84164880366396,30.405276077790894,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e376bfffff,50,45,22366,2746,4587,15033,-97.71647384006188,30.208763263262295,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e2267fffff,50,45,5,0,2,3,-97.59801623572132,30.274648890294404,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
884898c903fffff,50,45,3677,180,300,3197,-97.85086642882564,30.38949724434847,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489eac91fffff,50,45,832,248,231,353,-97.8526648585048,30.180737878058917,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e373dfffff,50,45,245262,24921,41888,178453,-97.71843846599562,30.23960696804779,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e266dfffff,50,45,36497,6278,8081,22138,-97.74672878304018,30.362245687515166,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e2239fffff,50,45,1530,245,498,787,-97.62496324235715,30.29690713506044,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e32dbfffff,50,45,12686,1619,2741,8326,-97.72372120390892,30.16213465714175,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489eac35fffff,50,45,197,59,42,96,-97.77830222855816,30.137011524811957,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e36e1fffff,50,45,5,0,2,3,-97.8168443446192,30.259327737139863,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e32adfffff,50,45,89,3,7,79,-97.65796629366672,30.17215687202958,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
884898d949fffff,50,45,627,193,133,301,-97.87866936657184,30.187530452576464,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e2611fffff,50,45,1380,382,421,577,-97.79516865265128,30.39918377451541,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
884898d91bfffff,50,45,515,73,97,345,-97.90209642669026,30.233074538516103,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e3685fffff,50,45,6858,402,734,5722,-97.8280478255888,30.274387797692405,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e3223fffff,50,45,14,2,10,2,-97.630067337692,30.13448005718205,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e3629fffff,50,45,23747,4326,6565,12856,-97.77865032151648,30.22203509439543,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e2559fffff,50,45,2617,468,808,1341,-97.69960327142284,30.425659645764384,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e35cdfffff,50,45,256997,25121,43278,188598,-97.73257571279666,30.300931140916003,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e20c9fffff,50,45,104,32,40,32,-97.63905170658172,30.358217064812827,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e209bfffff,50,45,10796,928,1726,8142,-97.66239127588814,30.403760337798637,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e24a1fffff,50,45,475,120,132,223,-97.75562677437296,30.500960298645843,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e3543fffff,50,45,145094,14840,23430,106824,-97.70461146974309,30.26326963976256,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e3515fffff,50,45,138805,14514,26414,97877,-97.70657376872862,30.294107318022995,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e2445fffff,50,45,113,11,39,63,-97.73486311613225,30.416726455103262,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e2011fffff,50,45,143,27,45,71,-97.61305494327964,30.35137387997353,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e34e7fffff,50,45,69,9,12,48,-97.77999046813572,30.322454511420872,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e34b9fffff,50,45,2359,63,131,2165,-97.80700809928172,30.34468548570366,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
884898db55fffff,50,45,0,0,0,0,-97.9174635651482,30.155184174276997,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
884898db27fffff,50,45,391,147,73,171,-97.8730666587933,30.180000796413836,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
